Date,Dividends
2012/11/20,0.001875
2013/2/26,0.001875
2013/5/21,0.001875
2013/8/20,0.001875
2013/11/19,0.002125
2014/2/25,0.002125
2014/5/20,0.002125
2014/8/19,0.002125
2014/11/19,0.002125
2015/2/24,0.002125
2015/5/19,0.00245
2015/8/18,0.00245
2015/11/18,0.002875
2016/2/29,0.002875
2016/5/24,0.002875
2016/8/23,0.002875
2016/11/23,0.0035
2017/2/22,0.0035
2017/5/19,0.0035
2017/8/22,0.0035
2017/11/22,0.00375
2018/2/22,0.00375
2018/5/23,0.00375
2018/8/29,0.00375
2018/11/29,0.004
2019/2/28,0.004
2019/5/30,0.004
2019/8/28,0.004
2019/11/27,0.004
2020/2/27,0.004
2020/6/4,0.004
2020/9/1,0.004
2020/12/3,0.004
2021/3/9,0.004
2021/6/9,0.004
2021/8/31,0.004
2021/12/1,0.004
2022/3/2,0.004
2022/6/8,0.004
2022/9/7,0.004
2022/11/30,0.004
2023/3/7,0.004
2023/6/7,0.004
2023/9/6,0.004
2023/12/5,0.004
2024/3/5,0.004
2024/6/11,0.01
