y,text,text_pt
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","A Technopolis planeja desenvolver em etapas uma área não inferior a 100 mil metros quadrados para hospedar empresas que atuam em tecnologias de informática e telecomunicações, afirma o comunicado."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","A Elcoteq, empresa internacional da indústria eletrônica, demitiu dezenas de funcionários de suas instalações em Tallinn; ao contrário das demissões anteriores, a empresa contratou os funcionários de seus escritórios, relatou o jornal Postimees."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Com a nova planta de produção a empresa aumentaria sua capacidade para atender ao aumento esperado de demanda e melhoraria o uso de matérias-primas e, portanto, aumentaria a lucratividade da produção."
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","De acordo com a estratégia atualizada da empresa para os anos de 2009-2012, a Basware tem como meta um crescimento de vendas líquidas de longo prazo na faixa de 20% -40% com uma margem de lucro operacional de 10% -20% das vendas líquidas."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"FINANCIAMENTO DO CRESCIMENTO DA ASPOCOMP A Aspocomp está perseguindo agressivamente sua estratégia de crescimento, focando cada vez mais em placas de circuito impresso HDI tecnologicamente mais exigentes."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","No último trimestre de 2010, as vendas líquidas da Componenta dobraram para EUR131 milhões de EUR76 milhões para o mesmo período do ano anterior, enquanto ela passou para um lucro zero antes de impostos de uma perda antes de impostos de EUR7 milhões."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","No terceiro trimestre de 2010, as vendas líquidas aumentaram 5,2% para EUR 205,5 milhões e o lucro operacional de 34,9% para EUR 23,5 milhões."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"O lucro operacional aumentou para EUR 13,1 milhões de EUR 8,7 milhões no período correspondente em 2007, representando 7,7% das vendas líquidas."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","O lucro operacional totalizou EUR 21,1 milhões, acima dos EUR 18,6 milhões em 2007, representando 9,7% das vendas líquidas."
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,A TeliaSonera TLSN disse que a oferta está em linha com sua estratégia de aumentar sua participação nas participações de negócios principais e fortaleceria a oferta da Eesti Telekom a seus clientes.
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE O Credit Suisse First Boston (CFSB) elevou o valor justo para ações em quatro dos maiores grupos florestais nórdicos."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Um contrato de compra de 7.200 toneladas de gasolina com entrega no terminal de Hamina, Finlândia, foi assinado com a Neste Oil OYj na média do índice Platts para setembro deste ano mais oito dólares americanos por mês."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","A Finnish Talentum relata que seu lucro operacional aumentou para EUR 20,5 milhões em 2005 de EUR 9,3 milhões em 2004, e as vendas líquidas totalizaram EUR 103,3 milhões, acima de EUR 96,4 milhões."
positive,"Clothing retail chain Sepp+∆l+∆ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","As vendas da cadeia de varejo de roupas Sepp + ∆l + ∆ aumentaram 8% para EUR 155,2 milhões, e o lucro operacional subiu para EUR 31,1 milhões de EUR 17,1 milhões em 2004."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","As vendas líquidas consolidadas aumentaram 16% para alcançar EUR74,8 milhões, enquanto o lucro operacional totalizou EUR0,9 milhões em comparação com uma perda de EUR0,7 milhões no período do ano anterior."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","A divisão de fundições relata que suas vendas aumentaram 9,7% para EUR 63,1 milhões de EUR 57,5 milhões no período correspondente em 2006, e as vendas da divisão de Oficina de Máquinas aumentaram 16,4% para EUR 41,2 milhões de EUR 35,4 milhões no período correspondente em 2006."
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - As ações fecharam em alta, lideradas pela Nokia após anunciar planos de se associar à Sanyo para fabricar aparelhos 3G, e pela Nokian Tyres depois que seu relatório de lucros do quarto trimestre superou as expectativas dos analistas, disseram revendedores."
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, uma subsidiária da Incap Corporation of Finland, planeja dobrar suas receitas em 2007-2008."
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Seu conselho de administração irá propor um dividendo de EUR0,12 por ação para 2010, acima dos EUR0,08 por ação pagos em 2009."
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","A Lifetree foi fundada em 2000 e suas receitas aumentaram em média 40%, com margens no final dos anos 30."
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Filippova) Um acordo trilateral sobre o investimento na construção de um parque tecnológico em São Petersburgo deveria ter sido assinado durante o fórum Dias da Economia Russa, que hoje foi inaugurado em Helsinque."
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","A base de assinantes da MegaFon aumentou 16,1% em 2009 para 50,5 milhões de usuários em 31 de dezembro, enquanto sua participação de mercado em número de clientes ascendeu a 24% no final de 2009, ante 23% no final de 2008, de acordo com estimativas da TeliaSonera ."
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","O rendimento líquido dos seguros de vida duplicou para 6,8 milhões de euros de 3,2 milhões de euros, e o rendimento líquido dos seguros não vida aumentou para 5,2 milhões de euros de 1,5 milhões de euros no período correspondente em 2009."
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"As vendas líquidas aumentaram para EUR193,3 milhões de EUR179,9 milhões e o lucro antes dos impostos aumentou 34,2% para EUR43,1 milhões. (EUR1 = US $ 1,4)"
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","As vendas líquidas aumentaram 18,5% para EUR167,8 milhões. A Teleste disse que 20,4 milhões de euros, ou 12,2%, das vendas vieram das aquisições feitas em 2009."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"O lucro operacional do Grupo Nordea aumentou em 2010 em 18 por cento ano a ano para 3,64 bilhões de euros e a receita total em 3 por cento, para 9,33 bilhões de euros."
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de nove meses aumentou de EUR13,6 milhões, enquanto as vendas líquidas aumentaram de EUR394,7 milhões, em comparação com o período correspondente em 2005."
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","O lucro operacional para o período de nove meses aumentou de EUR3,1 m e as vendas líquidas aumentaram de EUR 61,5 m, em comparação com o período correspondente em 2007."
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de três meses aumentou de € 1,2 milhões, enquanto as receitas aumentaram de € 20,2 milhões, em comparação com o período correspondente em 2005."
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","A unidade brasileira da fornecedora de soluções de segurança finlandesa F-Secure assinou 1.500 novos clientes no ano passado, disse a fonte de notícias online Reseller Web citando o diretor comercial da divisão, Vladimir Brand + _o."
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","O lucro líquido da empresa cresceu 11,4% no ano, para 82,2 milhões de euros em 2005, sobre vendas de 686,5 milhões de euros, 13,8% acima do ano passado, informou a empresa anteriormente."
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","O mercado de cerveja da Lituânia registrou 14,41 milhões de litros em janeiro, um aumento de 0,8% em relação ao ano anterior, informou a Associação de Cervejarias da Lituânia citando os resultados de seus membros."
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","A receita de carga da Viking Line aumentou 5,4% para EUR 21,46 milhões, e o volume de carga aumentou 2,4% para 70.116 unidades de carga."
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","O justo valor da carteira de imóveis duplicou com a aquisição da Kapiteeli e totalizou 2.686,2 1.259,7 milhões de euros."
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 de fevereiro de 2011 - A empresa de mídia finlandesa Sanoma Oyj HEL: SAA1V disse ontem que seu lucro líquido de 2010 quase triplicou para EUR 297,3 milhões de EUR107,1 milhões para 2009 e anunciou uma proposta para um aumento no pagamento."
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","A Helsinque: o ELIiV relatou hoje um lucro por ação de 1,13 euros em 2009, um aumento em relação ao lucro por ação de 1,12 euros em 2008."
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","DIVULGAÇÃO DA BOLSA DE AÇÕES Aspo Plc 11 de fevereiro de 2011 às 8h45 A ESL Shipping Ltd, parte do Aspo Group, assinou um novo contrato de longo prazo com a Rautaruukki Corporation para o transporte marítimo de matérias-primas no Mar Báltico."
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","As receitas de comissões aumentaram 22% para 4,4 milhões de euros e o volume de empréstimos aumentou 13,5%."
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","Em janeiro, o tráfego, medido em receita-passageiro-quilômetro RPK, aumentou 3,2% e a capacidade, medida em assento-quilômetro ASK oferecido, aumentou 12,2%."
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","Em janeiro-setembro de 2010, o lucro líquido da Fiskars aumentou 14% com relação ao ano anterior para EUR 65,4 milhões e as vendas líquidas para EUR 525,3 milhões de EUR 487,7 milhões."
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","O lucro líquido de seguros de vida aumentou para EUR 16,5 milhões de EUR 14,0 milhões, e o lucro líquido de seguros não vida para EUR 22,6 milhões de EUR 15,2 milhões em 2009."
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",A Nyrstar também concordou em fornecer à Talvivaara até 150.000 toneladas de ácido sulfúrico por ano para uso no processo de lixiviação da Talvivaara durante o período de fornecimento do zinco em concentrado.
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","As vendas da divisão de lojas de departamentos e do Hobby Hall aumentaram 7%, enquanto as vendas da filial da loja de roupas Seppala diminuíram 4%."
positive,Sales have risen in other export markets .,As vendas aumentaram em outros mercados de exportação.
positive,Sales increased due to growing market rates and increased operations .,As vendas aumentaram devido às taxas de mercado crescentes e ao aumento das operações.
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,O acordo fortalece nossa parceria de longo prazo com a Nokia Siemens Networks.
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","O acordo foi assinado com a Biohit Healthcare Ltd, subsidiária da Biohit Oyj, com sede no Reino Unido, uma empresa pública finlandesa que desenvolve, fabrica e comercializa produtos de manuseio de líquidos e sistemas de teste de diagnóstico."
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"A empresa também estima que os investimentos já realizados levem a um aumento das vendas líquidas de 2010 a partir de 2009 quando atingiram 141,7 milhões de euros."
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","A carteira de pedidos da empresa ficou em 1,5 bilhão de euros, $ 2,2 bilhões, em 30 de setembro de 2007, um aumento de 24,2% no ano, com pedidos internacionais totalizando 365 milhões de euros, $ 534,3 milhões."
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","A empresa disse que a demanda por papel aumentou em todos os seus principais mercados, incluindo papéis para publicação, e que aumentou os preços médios do papel em 4 por cento em comparação com o ano passado."
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","A segunda maior fabricante de aço inoxidável do mundo disse que o lucro líquido no período de três meses até 31 de dezembro subiu para € 603 milhões, US $ 781 milhões, ou € 3,33 US $ 4,31 por ação, de € 172 milhões, ou € 0,94 por ação, no ano anterior."
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","No âmbito da parceria, a Nokia Siemens Networks assinou um acordo de compra inicial com a subsidiária da Sitronics, JSC Mikron, que é o maior fabricante e exportador de componentes microeletrônicos da Rússia."
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","A receita da Seppala aumentou 0,2% para EUR10,1 milhões. Na Finlândia, a receita diminuiu 2,4% para EUR 6,8 milhões, enquanto as vendas no exterior aumentaram 6,2% para EUR3,3 milhões. As vendas aumentaram em todos os países bálticos, bem como na Rússia e na Ucrânia."
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","As ações do Standard Chartered (STAN) subiram 1,2% no FTSE 100, enquanto as ações do Royal Bank of Scotland (RBS) subiram 2% e as ações do Barclays (BARC) (BCS) subiram 1,7%."
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,"As ações da Nokia Corp. subiram na quinta-feira, depois que a fabricante de celulares disse que seus ganhos no terceiro trimestre quase dobraram e sua participação no mercado global de aparelhos aumentou."
